,implied_vol,premium,delta,vega,value
2012-09-04,0.164277,4018.627427672669,-0.9374917388936759,1603.3765968104365,3964.0595699999994
2012-09-05,0.163864,4006.7860203297787,-0.9376403028765796,1599.6254436150755,3952.5195299999996
2012-09-06,0.158309,3768.6449932424675,-0.9305077948447982,1769.8464081101686,3708.0
2012-09-07,0.156624,3751.6758728687055,-0.9322048652561514,1735.9348791779978,3693.360350000001
2012-09-10,0.15717,3800.3846359921445,-0.9355969924205187,1654.7953343331474,3745.70996
2012-09-11,0.154255,3730.569691616647,-0.935593761035838,1661.1651525890213,3676.639649999999
2012-09-12,0.153132,3719.012140564222,-0.9368010668342391,1635.8311000062113,3666.6503900000007
2012-09-13,0.14973699999999998,3520.1532453305717,-0.9285376066479809,1824.1687129139027,3460.139649999999
2012-09-14,0.15349200000000002,3477.484319334684,-0.9194896699386846,2002.6005207560752,3406.6298800000004
2012-09-17,0.15276700000000001,3511.9332785218594,-0.9244167157384101,1895.1991409946863,3446.9003900000007
2012-09-18,0.151651,3498.7489229978146,-0.9255791639851766,1871.8575213957079,3435.360350000001
2012-09-19,0.14865499999999998,3480.505055474585,-0.9293909028088089,1797.1642218884806,3422.04004
2012-09-20,0.15867,3482.11224777845,-0.9134155191458309,2097.7092636779266,3403.070309999999
2012-09-21,0.155194,3490.598545893474,-0.9202474457589247,1966.6218527864446,3420.5302699999993
2012-09-24,0.14606478571428572,3491.968154245498,-0.9359528132810417,1652.3615769385137,3441.0800800000015
2012-09-25,0.14682492307692308,3588.0033272555775,-0.9415707909302448,1524.2603311120308,3542.4501900000014
2012-09-26,0.14929425274725275,3632.897797164709,-0.9411952385795996,1524.7119598404313,3586.4902299999994
2012-09-27,0.1495595879120879,3564.936822534479,-0.9366360047908603,1622.7150751069134,3514.0302699999993
2012-09-28,0.14782676923076923,3607.7770760904023,-0.9423242891292869,1499.9189360457676,3562.8701199999996
2012-10-01,0.15152757142857143,3539.4814217013045,-0.9332378473260502,1683.579460782252,3484.889649999999
2012-10-02,0.14724815934065935,3562.990767295747,-0.9415340438947074,1512.1999961064366,3517.639649999999
2012-10-03,0.15258574175824177,3559.6345164915274,-0.9337296025567889,1666.4801635528033,3505.389649999999
2012-10-04,0.14820103296703296,3476.543631211778,-0.9349156284239811,1650.6827526358643,3424.639649999999
2012-10-05,0.1458318956043956,3439.753475420399,-0.936305270111568,1624.960075766673,3389.8496099999993
2012-10-08,0.14358781318681318,3460.1177956177235,-0.9420653078541855,1499.1473009416757,3416.3496099999993
2012-10-09,0.14193743406593406,3561.7521947249406,-0.9510520717549298,1299.0587172042392,3526.4697300000007
2012-10-10,0.15029992857142857,3694.6028814010406,-0.9479281506210786,1349.6223760344712,3655.030270000001
2012-10-11,0.14220273076923076,3702.0840998292406,-0.9589561277164329,1111.6317312598119,3673.610350000001
