,implied_vol,premium,delta,vega,value
2012-09-04,0.15106499999999998,2164.8146185778587,-0.8033010947579592,3613.0949844663196,1964.0595699999994
2012-09-05,0.1808383901098901,2270.6098713089013,-0.7523559634957062,4119.681062408586,1952.5195299999996
2012-09-06,0.17867716483516483,2079.9763604827695,-0.7221831029556044,4445.161702721511,1708.0
2012-09-07,0.17623891758241758,2057.484816408849,-0.7239912498184715,4429.737782157266,1693.3603500000008
2012-09-10,0.17131976373626373,2071.270113881834,-0.73997480120124,4263.961170843697,1745.7099600000001
2012-09-11,0.17192332967032967,2022.0960848808463,-0.7294058615678389,4367.659414717138,1676.6396499999992
2012-09-12,0.1700907912087912,2005.7699005931063,-0.731076458166798,4351.309305721137,1666.6503900000007
2012-09-13,0.1669546923076923,1842.3425461078969,-0.7049451570803269,4614.158939545627,1460.1396499999992
2012-09-14,0.16951610439560438,1815.767468016771,-0.6933655003403991,4706.915770832145,1406.6298800000004
2012-09-17,0.1690975989010989,1838.5452031400637,-0.7011834527986278,4619.347137679582,1446.9003900000007
2012-09-18,0.17003585714285713,1833.6952432297785,-0.6984177121978516,4635.9800536423745,1435.3603500000008
2012-09-19,0.16605336813186813,1804.853990027812,-0.7023726566938053,4606.281793464577,1422.0400399999999
2012-09-20,0.1714642142857143,1815.6241804501296,-0.6921311393288263,4676.457377056643,1403.0703099999992
2012-09-21,0.1686613076923077,1813.611185702408,-0.6990882713064017,4616.541699886164,1420.5302699999993
2012-09-24,0.16804728021978022,1821.872548465044,-0.7042079042031865,4553.932305607147,1441.0800800000015
2012-09-25,0.16948854945054945,1899.3290588789496,-0.7180983723248088,4412.286474140309,1542.4501900000014
2012-09-26,0.1720334285714286,1941.1061493266625,-0.7213759837071527,4366.643530295704,1586.4902299999994
2012-09-27,0.1698152032967033,1878.2356007081125,-0.713997958796083,4439.3041224779745,1514.0302699999993
2012-09-28,0.1681815879120879,1905.100643699141,-0.7242707445852333,4339.331924865186,1562.8701199999996
2012-10-01,0.17147602747252746,1860.4326224694469,-0.7085718011252352,4462.121442241956,1484.8896499999992
2012-10-02,0.17173162637362638,1883.7267429880467,-0.7135937666267883,4408.51008972484,1517.6396499999992
