,implied_vol,premium,delta,vega,value
2012-09-04,0.160744,4495.940591472694,-0.960085213759121,1121.41090056069,4464.059569999999
2012-09-05,0.160382,4484.208492900512,-0.9602073718752511,1118.0758113210454,4452.51953
2012-09-06,0.155112,4243.505300378896,-0.9554999271011884,1245.1968763218838,4208.0
2012-09-07,0.151476,4224.858941705776,-0.9591151139902031,1162.4305800034886,4193.360350000001
2012-09-10,0.15406199999999998,4277.326816860303,-0.9592721709460976,1149.4546058470291,4245.70996
2012-09-11,0.151112,4207.427920674614,-0.959701345454357,1143.9537232007358,4176.639649999999
2012-09-12,0.14901199999999998,4195.244672522424,-0.9617655371954421,1095.3243446812337,4166.650390000001
2012-09-13,0.14585,3993.256785117632,-0.9562897277202159,1238.1211590589035,3960.139649999999
2012-09-14,0.149404,3946.6623841014516,-0.949582675915182,1391.8136031152092,3906.6298800000004
2012-09-17,0.149028,3983.6061001219223,-0.9528584531137976,1309.5759853445388,3946.9003900000007
2012-09-18,0.14783,3970.776367643375,-0.9539771280433437,1283.844293511523,3935.360350000001
2012-09-19,0.144327,3953.437599158133,-0.9577178757758591,1198.4951003557348,3922.04004
2012-09-20,0.15654,3951.8518973495684,-0.9420358518251317,1541.4906352900207,3903.070309999999
2012-09-21,0.151587,3960.809415669255,-0.9494576090163142,1379.3340383378873,3920.5302699999993
2012-09-24,0.14223446703296705,3968.1480177968097,-0.9621365545373636,1086.2991996675717,3941.0800800000015
2012-09-25,0.14376573626373626,4067.214071002514,-0.9650192548651962,1009.0528377404588,4042.4501900000014
2012-09-26,0.14582373626373626,4111.573085857002,-0.9648982093210797,1007.1388088551525,4086.4902299999994
2012-09-27,0.14712695054945055,4042.9612649774863,-0.9606516177224544,1110.0016981045972,4014.0302699999993
2012-09-28,0.1444312912087912,4086.9622009336563,-0.9658157740700061,984.3182539997972,4062.8701199999996
2012-10-01,0.1496306098901099,4016.877461904871,-0.9575125079172889,1176.9224071329627,3984.889649999999
2012-10-02,0.14392987362637363,4041.9516702272977,-0.9653725275868215,992.2707683318827,4017.639649999999
2012-10-03,0.1513397142857143,4037.99087676363,-0.957044801776732,1182.0706198764901,4005.389649999999
