0,468299.9044146634
1,469932.67384558206
2,471250.3765246936
3,468167.5687747334
4,470623.55312900525
5,468973.8330557672
6,465551.17941810534
7,464292.310578758
8,459091.59668790945
9,456962.15437036194
10,457463.1444009669
11,453436.2659629475
12,455609.51714429713
13,459306.01807689876
14,457139.49003981566
15,455804.07471074595
16,452907.9960447022
17,455882.2608935698
18,456903.8146511691
19,460102.9843672537
20,463910.5400225112
21,463402.747766958
22,463062.53344985354
23,464221.47895467724
