,Rebal,NoRebal
2014-04-30,197708.03010969568,197708.03010969568
2014-05-31,198895.16640341224,198895.16640341224
2014-06-30,198314.62396270293,198314.62396270293
2014-07-31,202647.04962775885,202647.04962775885
2014-08-31,200530.76169455954,200530.76169455954
2014-09-30,218279.24342565046,198191.3190636122
2014-10-31,223182.67998322105,202263.21515167848
2014-11-30,226681.32054089924,205175.84424778284
2014-12-31,210001.4583726424,199018.66808016066
2015-01-31,232063.7942809182,217202.84367545153
2015-02-28,232687.75466409733,218757.20527132842
2015-03-31,247305.7655444951,219254.5832914466
2015-04-30,240483.28513601806,213866.4285073313
2015-05-31,243183.78179271298,216139.2793956886
2015-06-30,236011.8334131532,213121.1553376583
2015-07-31,244474.21669367002,222026.1356822328
2015-08-31,247180.28292441278,224564.4384018014
2015-09-30,278784.3474301873,230680.53905148763
2015-10-31,267309.5776547619,222767.4576616363
2015-11-30,271300.6068791608,227341.4750146836
2015-12-31,264517.5634114379,230688.24296032937
2016-01-31,275335.31586747314,237951.13242774032
2016-02-29,276125.89857985324,232166.1582059679
2016-03-31,275025.6083262701,226901.3198538394
2016-04-30,275164.6338210464,224968.41528475177
2016-05-31,283394.60229918885,233119.22610277985
2016-06-30,288706.53437961923,241052.38981408015
2016-07-31,302275.3121458734,253375.1091198405
2016-08-31,293982.50326780486,248240.90679369512
2016-09-30,312944.97104136297,248229.5789496688
2016-10-31,305823.89349697414,242542.40158925866
2016-11-30,295176.6459135808,233660.5787908855
2016-12-31,294574.9064343094,237608.07400008
2017-01-31,295263.88284554105,237173.59600359644
2017-02-28,301579.799670024,242149.85897688463
2017-03-31,327668.4416822651,247990.48797401905
2017-04-30,336697.9455678032,254887.0135586323
2017-05-31,339450.5304232929,256718.55283814552
2017-06-30,332176.44172948453,250747.58014702186
2017-07-31,320712.7961109263,241961.96590343042
2017-08-31,330182.3705599492,248486.5541511518
2017-09-30,343700.00221277,244401.4221507355
2017-10-31,350966.3418068442,248769.67917861708
2017-11-30,349830.6475307881,247733.19887178327
2017-12-31,345969.1702863459,246330.59009062318
2018-01-31,342415.0852149569,245899.08577523066
2018-02-28,340906.20854447817,246187.31575011296
2018-03-31,366444.1657380909,249838.6389273994
2018-04-30,361990.15972320584,247690.78340554336
2018-05-31,373058.98724072333,256293.86126278416
2018-06-30,380532.8504348935,260334.059166989
2018-07-31,377526.30313187407,257406.43769197635
2018-08-31,377713.07186990016,259174.33355655515
2018-09-30,394386.79039899574,257035.44807597055
2018-10-31,391481.33086346695,253645.9687162208
2018-11-30,398422.28780109226,259614.7509840602
2018-12-31,402710.0762917964,257082.58075169305
2019-01-31,414948.5293256828,266789.74746438186
2019-02-28,418763.7129477438,269710.4585576876
2019-03-31,457129.5363945876,281261.2926820517
2019-04-30,455728.78547720565,279822.2180699307
2019-05-31,466938.7502477956,286042.1744804538
