,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
MRD.TO,218.76478467063833,484.63980387848,762.2599293112405,513.497155043326,401.06352284164535,158.273297387838,-376.2884581197263,-647.9281664982683,-1237.4228363060877,-1477.1919380329298,-1366.5585849824338,-1919.7581083862617,-1477.0195683691275,-932.2011308547984,-1196.3743716254116,-1456.463868113174,-1828.3172878412884,-1368.606539720051,-1306.782608783297,-989.1826147797732,-627.1450029608233,-834.9762484623465,-766.4869525090969,-776.4934895414316
CIM.AX,-144.44856760701103,-313.9562714738084,-455.96056226940595,-133.27883279702067,-386.3992703780279,-212.32263588034,143.8667750376664,274.75007317410314,773.4933744883241,969.3998042404309,921.6293078584351,1292.6120203674523,1093.1823648064053,757.106971791912,958.3771072271358,1081.4372679342434,1343.4417781557297,1078.5734413602893,986.7817115084762,697.4686821989591,348.312954899894,404.8848530676192,429.025713663731,328.7919585642492
GAPSX,9566.586246591982,20571.25905220585,27841.444794154635,-3161.8492411339166,30940.63524247519,18212.40026845117,-6055.387262311367,-12041.847748622013,-50643.349251270396,-64716.88308488717,-63016.0869371194,-85984.39395971906,-78428.41733078561,-59471.57451400103,-73065.20340738604,-78167.89222991999,-94562.89159117392,-80860.70695397997,-73077.02517529625,-51978.312222187764,-24963.525243132804,-24374.62198600322,-29576.35158861633,-17643.78016330401
LNC,-4208.496623400154,-9207.732777144689,-13122.146551791708,-1235.179133561537,-11969.44986636545,-6388.067565435632,4408.432757503739,7632.069413585731,22527.86210425983,27732.16307281758,26793.490121569535,35783.02218805652,32017.097459541717,24451.068068779226,29596.71644772352,32102.424192138882,38259.25522005209,32762.338760096292,30275.814287573394,22900.085601715895,13338.660315854542,14095.6469923764,15368.248398157602,11784.20213184376
KNEBV.HE,-112.4353764134976,-308.8073886877771,-831.9927346415242,-2089.3477598794525,820.6863647697136,840.7229127725617,1119.1440136055628,1724.440002343227,975.8656681368163,706.6081848268452,413.78233526583693,566.6458229168721,-511.6733823774567,-915.6483285191894,-1073.6744139846558,-524.5238674626776,-566.2785828506359,-1073.3382204340485,-601.3443697776773,62.351716558062634,975.7525099588395,1852.1078333328403,1136.8499945086173,2175.65959304244
