,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
HBD.TO,255.78723476507415,603.836276825264,1164.8413058556598,1740.6700217902044,-267.58216852629914,-484.8424278805373,-1100.1961232325104,-1676.1480731914703,-1752.9376284266843,-1804.2694300530584,-1543.84737547154,-2104.9906782386515,-1117.4876891563654,-405.91657801676206,-539.8968000122799,-1100.8349167775216,-1398.4862119763466,-700.747095624556,-932.4779906506936,-1052.4936233600567,-1276.925491584701,-1953.72479294287,-1501.5942884874883,-2098.6106256046946
HGU.TO,336.83422520187577,739.6413416408658,1106.3588499099146,448.25064815744247,814.1316000832446,410.3892597608092,-425.59906223596363,-760.8546039838566,-1825.3144407677828,-2235.945942145069,-2114.53474286634,-2929.138844385029,-2440.488122607495,-1690.4204417341691,-2121.883660952888,-2424.902421831772,-2987.3267165970324,-2392.8511946988215,-2224.619814776917,-1640.0103016995815,-933.410874226624,-1116.7663141722169,-1124.4000106187214,-969.9283648630125
OIH,-634.7132036912008,-1390.318311696961,-1996.1247530545772,-272.02913047129204,-1773.7783257657657,-940.7662339465121,682.6131054140625,1186.7431968579526,3394.859884634127,4173.52837923156,4023.015570848491,5390.306286377685,4789.106792172422,3625.7588042698485,4402.513926376167,4799.888849357071,5736.540275907357,4883.417769246797,4517.153417136802,3413.006462380211,1991.345854691618,2133.5814206253986,2302.7361988211674,1794.9406495727676
RIT.TO,718.6409326922536,1498.6929467320276,1827.678143159122,-1085.9452804997077,2983.4090311833256,2029.2061313138136,267.75391454504745,38.26931692690261,-3463.134551765878,-4840.625472385146,-4806.628490782172,-6863.197453001159,-6578.5139718445025,-4936.718383085716,-6249.074127370239,-6491.229504947108,-8079.148148532654,-6928.972732161294,-5973.324998276191,-3690.657159017799,-865.2697598051163,-441.8571050579187,-1183.2325155947644,280.96048140346875
EMB,799.4293824113677,1767.909917685517,2765.938596615659,1806.096913044641,1509.2879396864937,619.2754941402246,-1333.4239256641886,-2310.9705058759882,-4509.398645461718,-5404.218491994791,-5005.935211060515,-7043.470280354207,-5443.213102435344,-3445.436321979312,-4425.155518983791,-5364.266900036411,-6739.399285283242,-5057.364150977899,-4811.478932992042,-3614.416677047195,-2245.7502874999586,-2979.4746876058252,-2752.3542806860905,-2751.7551133247343
