0,535657.6765487499
1,539271.9855842489
2,536964.5688029822
3,506255.63766779174
4,506350.0827469318
5,511105.1949759093
6,472518.6214488901
7,405130.61046771705
8,387260.42779521685
9,395065.65631916455
10,385832.3938893154
11,369352.8695649458
12,380023.7832587589
13,394037.85238092754
14,410414.57723894715
15,412999.8781711564
16,419839.19501483295
17,438732.6911898969
18,449371.7938822278
19,456414.04991064535
20,462696.6304452973
21,460903.9380679444
22,471438.1436214662
23,450263.16345507075
