,Rebal,NoRebal
2014-04-30,201282.91253813414,201282.91253813414
2014-05-31,205004.5095623362,205004.5095623362
2014-06-30,205166.43350824306,205166.43350824306
2014-07-31,208297.3283709343,208297.3283709343
2014-08-31,213213.961266726,213213.961266726
2014-09-30,230568.04711182963,210185.96759665478
2014-10-31,237326.06708749506,216125.33246866765
2014-11-30,237052.50974400112,215791.9974772014
2014-12-31,232449.20816820735,212203.28228323458
2015-01-31,255592.326464407,231431.91751090914
2015-02-28,256696.36941658368,233128.8828260983
2015-03-31,275967.51736216445,233000.82497594383
2015-04-30,272864.064016957,230446.0790388183
2015-05-31,275711.79286890535,232849.74350926434
2015-06-30,272611.27568023396,230629.79230450827
2015-07-31,281318.8290770915,238710.30129701778
2015-08-31,278877.73292672454,236699.04216782126
2015-09-30,305610.0802846065,241864.19195281583
2015-10-31,310722.7290464683,245487.94055565813
2015-11-30,313749.8225965301,248849.99988153117
2015-12-31,315987.68151375605,250118.7482102351
2016-01-31,313911.0283145604,247225.93946200528
2016-02-29,321738.7684924336,248678.20208269465
2016-03-31,348236.8171157414,254335.914329321
2016-04-30,351289.3469765752,254889.1526497122
2016-05-31,362173.3253663315,263677.5704165016
2016-06-30,374486.1310322045,272451.0138397277
2016-07-31,385548.02774334536,279889.63501782867
2016-08-31,378896.8938467022,276223.56660363637
2016-09-30,398313.05904076144,276200.6144694409
2016-10-31,395165.6896797725,273496.45924125676
2016-11-30,387242.4998274932,268051.73086211947
2016-12-31,396294.2987017137,274329.6067902302
2017-01-31,397467.2434078576,274482.8382542179
2017-02-28,408466.59944825165,282839.21637782035
2017-03-31,432273.95804364525,285315.44689701044
2017-04-30,442801.9211459819,292376.0177154975
2017-05-31,445333.78323975136,293874.98725067324
2017-06-30,436225.8748584488,287494.2431546838
2017-07-31,425540.46957211336,280837.56434330676
2017-08-31,432918.66017090663,285133.6497133441
2017-09-30,447967.9672663864,283382.64319708117
2017-10-31,459281.91739756457,290180.2929383456
2017-11-30,460730.9910216369,291575.2375670162
2017-12-31,456956.03103572666,290020.4059407734
2018-01-31,447512.4159133588,285041.3591649069
2018-02-28,446884.7637699584,284516.8052842153
2018-03-31,472549.06829363777,287687.5282367163
2018-04-30,467332.1425603132,285184.5638253051
2018-05-31,475647.87269219884,290053.9416532497
2018-06-30,483499.6713189749,293967.68862751423
2018-07-31,486510.5119478414,296055.71912900876
2018-08-31,485287.64492955024,296628.62495506316
2018-09-30,505724.05655731016,297039.10174404085
2018-10-31,502856.22565399006,293957.35574222566
2018-11-30,510561.8386527298,297788.01288511243
2018-12-31,513612.839975245,295559.69257270626
2019-01-31,534493.6106570272,309369.0388520275
2019-02-28,545419.4528742062,316846.0474929912
2019-03-31,583324.3289961191,326823.0406074343
2019-04-30,577463.9993737973,323498.2703543567
2019-05-31,588663.0481758221,327693.0763970869
