,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
MRD.TO,645.8688214565237,1508.2600814573107,2562.777202695583,1599.2690656823852,1537.8253123549555,1559.6492051044388,1466.8102837487122,-45.052607602585525,-1821.9157888609839,-4295.952872948275,-4642.073871524488,-4775.368430808521,-4612.489592855009,-3738.4797058589784,-3874.918366651042,-3532.8603494939334,-3042.1272344302142,-2476.463589989816,-2010.1399958840607,-2109.248676698013,-1279.5036328269503,-1202.6846177658108,-860.346414435417,-1029.4638632620924
CIM.AX,-465.7318354676144,-738.8440546065162,-1104.9167337587298,-184.63409994754653,-85.17375219942215,-144.06774782715772,996.5444562350041,3000.289846847856,4003.438836127615,4400.901384360757,4771.84620908825,5210.907913898213,4838.1257941161375,4109.667406213967,3701.732512883265,3595.2517178378507,3195.010899352798,2509.7028776585703,2167.215656972861,2042.2747237170802,1406.6797594359184,1590.9924169006567,1296.3016141387322,2062.7449009178886
GAPSX,16110.27152509997,23780.848054695736,14768.011774147019,-25586.39992620837,-24382.02683486072,-14097.798322081477,-59552.359214719894,-149104.42407927834,-171864.32166824373,-159707.1015613774,-169509.2149810438,-189711.0323103331,-177182.458271157,-162521.59468357606,-141677.8003642571,-137292.5049852815,-129368.81348885123,-106744.80545601078,-92138.17593277968,-82273.79228337326,-78144.75108524258,-79302.78624869845,-62062.131770011365,-90267.89490899854
LNC,-6475.7573611788075,-10194.754441691162,-4968.363804118413,8564.923483503046,7934.153823195274,2964.7956601215933,16496.826427304586,46490.229701282624,54017.06389991255,50131.660789468806,52452.101217959986,58218.747112163066,54802.94013289932,51254.02362377392,44921.865527128575,43124.48156987544,40701.84545177307,34077.70380970466,29077.120469540754,25662.80606183881,25316.72187698217,25566.77096657577,18565.746659659813,28526.37708490513
KNEBV.HE,843.2927613205701,-83.25669312575278,707.3277264974871,-3137.2534927570073,-3654.428439077521,-4177.116456927345,-11888.933141197565,-20210.16503105175,-22073.570121237874,-20463.58405785858,-22239.99732268379,-24590.11735749313,-22822.06744176382,-20065.496897144527,-17656.034707675753,-17894.222419300753,-16646.453250530718,-13633.179088984953,-12723.958953141324,-11907.722552358553,-9602.24911057055,-10748.08708658703,-10501.159105404824,-14028.332396010857
