0,530319.7031013612
1,536225.1350562973
2,539193.3375122825
3,518893.57482519065
4,544806.2686308624
5,537610.7389148149
6,524239.50046323513
7,521941.21621150203
8,497396.18169682776
9,488213.828676484
10,488745.98888011125
11,474737.8606007548
12,477692.9021803352
13,488888.4837047154
14,480219.5739994738
15,478034.71413209656
16,467644.9421738612
17,475537.99312484177
18,481277.1764827439
19,495692.14380102465
20,514071.7881721389
21,516142.7740818305
22,511591.01820272376
23,520868.11266812426
