0,469104.53969623114
1,474796.38432570104
2,480448.17748167075
3,475009.8649274919
4,476211.17380577495
5,476544.9417723068
6,484772.1576098434
7,486781.82312857424
8,481670.5283922969
9,460307.54042297194
10,464210.45117516606
11,469816.47599014046
12,463141.73725279764
13,454837.1242579461
14,449640.76926241134
15,451887.5461654837
16,450114.2156905597
17,447386.1326132297
18,449000.10570229933
19,448269.1826825478
20,446416.4078808112
21,449222.8101366032
22,451102.9507426384
23,455170.5330218445
