,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
HBD.TO,-1286.0018436963342,-1653.6530531977637,-5247.566781665173,-1497.4634232067874,-784.6095088947313,537.5475913021231,7824.033713061592,19995.413073837513,28017.02191469719,33595.68690879593,40124.692404432004,47362.36862760492,40192.45984908097,26923.35105201208,22699.153522447592,22669.502832159018,18612.992734471813,11614.746952297179,9723.507066321681,9304.683424417102,3333.8366755113216,4559.353429865659,4778.711570277619,8420.286737951563
HGU.TO,554.012126615842,3786.1295926313414,8113.988700032793,6606.1977121482705,7341.950439326145,6814.989168687229,13946.13822384553,17399.92381207551,12923.536959277611,-4091.3468212867747,-3775.3672266206927,-2365.084112829832,-3930.2950928784985,-4326.485164111074,-7024.942299641866,-6119.360571134258,-6411.499998466228,-7147.909169467854,-6641.917692498361,-7451.892479913575,-7580.3562395378995,-6087.052747148118,-6092.576431297698,-2824.134787766137
OIH,-978.8917665521163,-2055.3888790922697,-2008.2592881273895,135.07400343804798,-52.435977303153486,-722.2164066810881,247.7649773188818,4528.482797212177,6112.20428563958,6673.532111943221,6969.948631961346,7651.225614714706,7301.333474790461,6822.181451948847,6238.8831747877575,5821.545805315082,5517.318180607189,4694.107703866636,3886.4161537999676,3561.5797211069416,3549.106621820084,3262.1658565457883,2256.4530702377183,2974.7152066222557
RIT.TO,2256.079039423465,5427.081644957488,10161.768645813538,3681.5101427517816,3770.695998386173,3298.7927438023858,-338.2656126851773,-12339.982836197069,-19593.751801385584,-27838.661100682908,-30621.451503392167,-33615.669471522495,-31586.109520864535,-26621.473923622416,-25454.158169472998,-24086.80939526894,-22195.142265233044,-18083.225566726513,-15405.80187517533,-15256.214017625858,-12246.716029004732,-11211.363062872488,-10015.742667290155,-10592.853422103875
EMB,2427.8938385209644,4674.6752292016345,7306.936500757065,3738.8927298724857,3308.9178403636374,3617.83869897032,917.893606057124,-6329.720515483616,-12396.263951427742,-18068.641904003365,-19652.499557661886,-20951.616772595346,-19606.20858046379,-15877.498817885995,-15058.621533323461,-14120.783540663835,-11984.279288922668,-9185.88694150178,-7481.286387103569,-7368.746591025076,-4009.510535119278,-4539.571747696847,-3048.4516178034623,-5579.368854097195
