Ticker,Country,State,Name,Exchange,Currency,Sector,Industry,Market Cap.,Quote Type
VFTSX,,,Vanguard FTSE Social Index Fund Investor Shares,NAS - Nasdaq,USD,,,,MUTUALFUND
VIA,United States,NY,Viacom Inc.,NMS - NasdaqGS,USD,Consumer Cyclical,Media - Diversified,12032203776.0,EQUITY
VIAB,United States,NY,Viacom Inc.,NMS - NasdaqGS,USD,Consumer Cyclical,Media - Diversified,12031269888.0,EQUITY
VIB3.F,Germany,,Villeroy & Boch AG,FRA - Frankfurt,EUR,Consumer Cyclical,Home Furnishings & Fixtures,361770400.0,EQUITY
VIFN.SW,Switzerland,,Vifor Pharma AG,EBS - Swiss,CHF,Healthcare,Drug Manufacturers - Specialty & Generic,9110609920.0,EQUITY
VIKASWSP.BO,India,,Vikas WSP Limited,BSE - BSE,INR,Basic Materials,Specialty Chemicals,2811049984.0,EQUITY
VISAGAR.BO,India,,Visagar Financial Services Limited,BSE - BSE,INR,Financial Services,Capital Markets,13653780.0,EQUITY
VISAKAIND.NS,India,,Visaka Industries Limited,NSI - NSE,INR,Basic Materials,Building Materials,6569175552.0,EQUITY
VISASTEEL.BO,India,,VISA Steel Limited,BSE - BSE,INR,Basic Materials,Steel,735266496.0,EQUITY
VISASTEEL.NS,India,,VISA Steel Limited,NSI - NSE,INR,Basic Materials,Steel,752716800.0,EQUITY
VIV.MI,France,,Vivendi SA,MIL - Milan,EUR,Consumer Cyclical,Broadcasting - TV,31078957056.0,EQUITY
VIV.PA,France,,Vivendi SA,PAR - Paris,EUR,Consumer Cyclical,Broadcasting - TV,31065686016.0,EQUITY
VIVO,United States,OH,"Meridian Bioscience, Inc.",NMS - NasdaqGS,USD,Healthcare,Diagnostics & Research,482129472.0,EQUITY
VLE.TO,Canada,AB,Valeura Energy Inc.,TOR - Toronto,CAD,Energy,Oil & Gas E&P,192218704.0,EQUITY
VLM.F,Finland,,Metso Corporation,FRA - Frankfurt,EUR,Industrials,Conglomerates,4506734080.0,EQUITY
VLO,United States,TX,Valero Energy Corporation,NYQ - NYSE,USD,Energy,Oil & Gas Refining & Marketing,31180421120.0,EQUITY
VMC,United States,AL,Vulcan Materials Company,NYQ - NYSE,USD,Basic Materials,Building Materials,17750523904.0,EQUITY
VMC.F,United States,AL,Vulcan Materials Company,FRA - Frankfurt,EUR,Basic Materials,Building Materials,16289146880.0,EQUITY
VMW,United States,CA,"VMware, Inc.",NYQ - NYSE,USD,Technology,Software - Infrastructure,69429485568.0,EQUITY
VNO,United States,NY,Vornado Realty Trust,NYQ - NYSE,USD,Real Estate,REIT - Office,13916782592.0,EQUITY
VO7.F,United States,NY,Vornado Realty Trust,FRA - Frankfurt,EUR,Real Estate,REIT - Office,12280232960.0,EQUITY
VOD,United Kingdom,,Vodafone Group Plc,NMS - NasdaqGS,USD,Communication Services,Telecom Services,45353193472.0,EQUITY
VOD.L,United Kingdom,,Vodafone Group Plc,LSE - LSE,GBp,Communication Services,Telecom Services,34713694208.0,EQUITY
VOL1.F,Sweden,,AB Volvo (publ),FRA - Frankfurt,EUR,Industrials,Truck Manufacturing,26260932608.0,EQUITY
VOL3.F,Sweden,,AB Volvo (publ),FRA - Frankfurt,EUR,Industrials,Truck Manufacturing,26552285184.0,EQUITY
VOLV-B.ST,Sweden,,AB Volvo (publ),STO - Stockholm,SEK,Industrials,Truck Manufacturing,281203802112.0,EQUITY
VOW.F,Germany,,Volkswagen AG,FRA - Frankfurt,EUR,Consumer Cyclical,Auto Manufacturers,72326365184.0,EQUITY
VOW3.DE,Germany,,Volkswagen AG,GER - XETRA,EUR,Consumer Cyclical,Auto Manufacturers,71815544832.0,EQUITY
VOW3.F,Germany,,Volkswagen AG,FRA - Frankfurt,EUR,Consumer Cyclical,Auto Manufacturers,72257748992.0,EQUITY
