This file was created using the 201904 Bloomberg database.,,,,,,,,,,,
,,,,,,,,,,,
Missing data are indicated by -99.99.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Mkt-RF,SMB,HML,RMW,CMA,RF,Mkt-RF_log,SMB_log,HML_log,RMW_log,CMA_log
19900907,0.5,-1.28,0.35,-0.26,-0.37,0.03,0.498754151,-1.288262583,0.349388925,-0.260338587,-0.370686193
19900910,3.5,-0.42,-0.27,-0.26,0.33,0.03,3.440142672,-0.420884477,-0.270365157,-0.260338587,0.329456695
19900911,-1.51,1.15,0.08,-0.16,0.55,0.03,-1.521516581,1.143437763,0.079968017,-0.160128137,0.548493023
19900912,3.05,-0.22,-0.38,-1.09,0.01,0.03,3.004412135,-0.220242356,-0.380723834,-1.095984024,0.0099995
19900913,0.22,0.74,-0.41,-0.27,0.08,0.03,0.219758354,0.737275433,-0.410842804,-0.270365157,0.079968017
19900914,-0.38,0.38,-0.34,-0.39,0.12,0.03,-0.380723834,0.379279824,-0.340579313,-0.390762483,0.119928058
19900917,-1.99,0.58,0.01,-0.18,0.01,0.03,-2.010067171,0.578324476,0.0099995,-0.180162195,0.0099995
19900918,-2.63,-0.09,0.4,-0.15,0.01,0.03,-2.6652031,-0.090040524,0.399202127,-0.150112613,0.0099995
19900919,-0.92,0.54,0,-0.38,-0.1,0.03,-0.924258137,0.538547228,0,-0.380723834,-0.100050033
19900920,-1.29,0.07,0.7,-0.68,0.35,0.03,-1.298392756,0.069975511,0.697561374,-0.682322535,0.349388925
19900921,-0.09,-1.17,0.32,0.28,0.39,0.03,-0.090040524,-1.17689836,0.31948909,0.27960873,0.389241472
19900924,0.56,0,0,0,0,0.03,0.558437829,0,0,0,0
19900925,-3.49,1.3,0.36,-0.07,0.23,0.03,-3.552355607,1.291622527,0.359353551,-0.070024511,0.229735905
19900926,-3.88,0.98,0.12,-0.15,-0.34,0.03,-3.957277512,0.975229144,0.119928058,-0.150112613,-0.340579313
19900927,-2.82,-1.36,-0.13,0.55,-0.08,0.03,-2.860525701,-1.369332713,-0.130084573,0.548493023,-0.080032017
19900928,-2.81,-0.53,-0.37,0.85,-0.38,0.03,-2.850236047,-0.531409482,-0.370686193,0.846407841,-0.380723834
19901001,-2.04,-1.13,0.98,0.57,-0.39,0.03,-2.06109539,-1.136433008,0.975229144,0.568381647,-0.390762483
19901002,8.06,-8.95,1.63,0.23,-0.46,0.03,7.751644243,-9.376137981,1.616858116,0.229735905,-0.461061256
19901003,1.02,2.73,-0.56,-1.14,0.4,0.03,1.014833105,2.693400124,-0.561573879,-1.146547811,0.399202127
19901004,0.66,1.35,0.86,-0.07,0.03,0.03,0.657831536,1.340968691,0.856323066,-0.070024511,0.029995501
19901005,2.97,1.13,-0.55,-0.5,0.74,0.03,2.926749768,1.123663193,-0.551518069,-0.501254182,0.737275433
19901008,4.19,-0.25,-0.82,0.53,0.63,0.03,4.104596944,-0.250313022,-0.823380493,0.528600443,0.628023796
19901009,0.21,1.7,-0.7,-0.34,0.47,0.03,0.209779808,1.685711707,-0.702461494,-0.340579313,0.468898949
19901010,0.25,0,0,0,0,0.03,0.24968802,0,0,0,0
19901011,-3.16,0.91,0.28,0.05,0.15,0.03,-3.211005392,0.905884449,0.27960873,0.049987504,0.149887612
19901012,0.41,-0.96,0.49,0.01,0.15,0.03,0.40916179,-0.964637705,0.488803407,0.0099995,0.149887612
19901015,2.72,-1.42,-0.76,0.51,-0.38,0.03,2.683665395,-1.430178471,-0.762902716,0.508703905,-0.380723834
19901016,2.11,-0.11,0.44,0.84,-0.88,0.03,2.088047758,-0.110060544,0.43903483,0.836491633,-0.883894867
19901017,2.75,-0.32,-0.76,0.1,0.74,0.03,2.712866739,-0.320513095,-0.762902716,0.099950033,0.737275433
19901018,1.79,-0.23,-1.76,-0.19,-0.01,0.03,1.774168148,-0.230264906,-1.775672159,-0.190180729,-0.0100005
