Unnamed: 0,Mkt-RF,SMB,HML,RMW,CMA,RF,Mkt-RF_log_global,SMB_log_global,HML_log_global,RMW_log_global,CMA_log_global,AUDUSD=X
2006-07-31,0.05,0.67,-0.35,0.15,-0.16,0.02,0.049987504,0.667765475,-0.350613933,0.149887612,-0.160128137,-0.222092
2006-08-01,-0.32,0.02,0.06,0.16,-0.06,0.02,-0.320513095,0.019998,0.059982007,0.159872136,-0.060018007,-0.0535342
2006-08-02,0.56,-0.01,-0.2,0.03,-0.21,0.02,0.558437829,-0.0100005,-0.200200267,0.029995501,-0.210220809,-0.4424787
2006-08-03,-0.14,0.31,0.03,0.09,0.06,0.02,-0.140098092,0.309520491,0.029995501,0.089959524,0.059982007,0.5725354
2006-08-07,-0.88,-0.05,0.17,0.08,0.07,0.02,-0.883894867,-0.050012504,0.169855664,0.079968017,0.069975511,-1.0054903
2006-08-08,0,-0.35,0.15,0.08,-0.03,0.02,0,-0.350613933,0.149887612,0.079968017,-0.030004501,1.0437801
2006-08-09,0.19,-0.3,0.02,0.08,0.09,0.02,0.189819728,-0.300450902,0.019998,0.079968017,0.089959524,0.3452379
2006-08-10,-0.23,0.18,-0.17,-0.03,0.15,0.02,-0.230264906,0.179838194,-0.170144664,-0.030004501,0.149887612,-0.2149568
2006-08-14,0.39,-0.16,-0.07,-0.11,0.24,0.02,0.389241472,-0.160128137,-0.070024511,-0.110060544,0.23971246,-0.2144929
2006-08-15,1.23,-0.01,-0.32,-0.24,-0.01,0.02,1.222496962,-0.0100005,-0.320513095,-0.240288462,-0.0100005,0.4678876
2006-08-16,0.99,0.1,-0.39,-0.09,-0.14,0.02,0.985131605,0.099950033,-0.390762483,-0.090040524,-0.140098092,-0.9183571
2006-08-17,0.09,0.12,-0.1,-0.15,0.12,0.02,0.089959524,0.119928058,-0.100050033,-0.150112613,0.119928058,-0.1674549
2006-08-21,-0.15,0.08,-0.02,0.17,-0.02,0.02,-0.150112613,0.079968017,-0.020002,0.169855664,-0.020002,0.2589184
2006-08-22,-0.02,0.07,-0.1,-0.02,-0.06,0.02,-0.020002,0.069975511,-0.100050033,-0.020002,-0.060018007,-0.0228757
2006-08-23,-0.39,0.12,-0.07,-0.05,0.06,0.02,-0.390762483,0.119928058,-0.070024511,-0.050012504,0.059982007,-0.1295106
