This file was created using the 201904 Bloomberg database.,,,,,,,,,,,
,,,,,,,,,,,
Missing data are indicated by -99.99.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Mkt-RF,SMB,HML,RMW,CMA,RF,Mkt-RF_log,SMB_log,HML_log,RMW_log,CMA_log
19900907,0.16,-0.78,0.05,0.24,-0.05,0.03,0.159872136,-0.783057912,0.049987504,0.23971246,-0.050012504
19900910,1.15,-1.15,-0.13,-0.02,-0.01,0.03,1.143437763,-1.156663637,-0.130084573,-0.020002,-0.0100005
19900911,-0.85,0.53,0.05,-0.11,0.18,0.03,-0.853633102,0.528600443,0.049987504,-0.110060544,0.179838194
19900912,1.32,-0.88,-0.18,-0.3,0.31,0.03,1.311363915,-0.883894867,-0.180162195,-0.300450902,0.309520491
19900913,-0.16,0.33,-0.12,-0.07,0.21,0.03,-0.160128137,0.329456695,-0.120072058,-0.070024511,0.209779808
19900914,-0.5,0.26,-0.19,-0.08,0.15,0.03,-0.501254182,0.259662585,-0.190180729,-0.080032017,0.149887612
19900917,-0.73,0.34,0.01,-0.1,0.07,0.03,-0.732677539,0.339423307,0.0099995,-0.100050033,0.069975511
19900918,-1.21,0.28,0.23,-0.01,0.3,0.03,-1.217380093,0.27960873,0.229735905,-0.0100005,0.299550898
19900919,-1.07,-0.02,0.23,-0.32,0.13,0.03,-1.075765665,-0.020002,0.229735905,-0.320513095,0.129915573
19900920,-1.63,0.1,0.27,-0.18,0.47,0.03,-1.643430646,0.099950033,0.269636155,-0.180162195,0.468898949
19900921,-0.47,-0.92,0.18,0.16,0.37,0.03,-0.471107973,-0.924258137,0.179838194,0.159872136,0.369317184
19900924,-0.6,-0.02,0.19,-0.1,0.03,0.03,-0.601807233,-0.020002,0.189819728,-0.100050033,0.029995501
19900925,-1.46,0.58,-0.2,0.15,-0.14,0.03,-1.470762887,0.578324476,-0.200200267,0.149887612,-0.140098092
19900926,-1.85,0.87,0.21,0.22,0.05,0.03,-1.867326527,0.866237308,0.209779808,0.219758354,0.049987504
19900927,-1.42,0.27,0.45,0.19,0.16,0.03,-1.430178471,0.269636155,0.448990527,0.189819728,0.159872136
19900928,-0.78,0.35,-0.33,0.41,-0.36,0.03,-0.783057912,0.349388925,-0.330545701,0.40916179,-0.360649559
19901001,0.96,-0.62,0.08,1.02,-0.35,0.03,0.95542128,-0.621929981,0.079968017,1.014833105,-0.350613933
19901002,3.31,-3,0.54,0.39,-0.88,0.03,3.256399087,-3.045920748,0.538547228,0.389241472,-0.883894867
19901003,0.16,0.32,-0.11,-0.55,0.23,0.03,0.159872136,0.31948909,-0.110060544,-0.551518069,0.229735905
19901004,0.28,0.13,0.01,-0.03,0.23,0.03,0.27960873,0.129915573,0.0099995,-0.030004501,0.229735905
19901005,1.11,-0.9,-0.31,-0.19,-0.34,0.03,1.103884712,-0.904074465,-0.310481495,-0.190180729,-0.340579313
19901008,2.51,-0.91,-0.41,0.48,-0.07,0.03,2.479016881,-0.914165792,-0.410842804,0.478851673,-0.070024511
19901009,-1.04,0.58,-0.19,-0.29,0.62,0.03,-1.04544579,0.578324476,-0.190180729,-0.290421315,0.618085908
19901010,-0.81,-0.04,0,0.01,0.05,0.03,-0.813298323,-0.040008002,0,0.0099995,0.049987504
19901011,-1.72,0.55,0.35,-0.03,0.37,0.03,-1.734963834,0.548493023,0.349388925,-0.030004501,0.369317184
19901012,0.66,-0.57,0,0.43,-0.25,0.03,0.657831536,-0.5716307,0,0.429078142,-0.250313022
19901015,1.12,-1.47,-0.72,0.53,0.02,0.03,1.113774441,-1.480911565,-0.722604509,0.528600443,0.019998
19901016,0.46,-0.09,0.02,0.16,-0.3,0.03,0.458945233,-0.090040524,0.019998,0.159872136,-0.300450902
19901017,0.85,-0.85,-0.56,-0.13,0.2,0.03,0.846407841,-0.853633102,-0.561573879,-0.130084573,0.199800266
19901018,1.63,-0.75,-1.14,0.13,-0.27,0.03,1.616858116,-0.752826642,-1.146547811,0.129915573,-0.270365157
19901019,1.2,-0.56,-0.64,0.27,0.16,0.03,1.192857087,-0.561573879,-0.64205678,0.269636155,0.159872136
19901022,0.99,-0.9,-0.62,0.26,0.15,0.03,0.985131605,-0.904074465,-0.621929981,0.259662585,0.149887612
19901023,-0.13,0.44,0.13,-0.12,-0.12,0.03,-0.130084573,0.43903483,0.129915573,-0.120072058,-0.120072058
19901024,-0.38,0.71,0.19,-0.07,0.51,0.03,-0.380723834,0.707491367,0.189819728,-0.070024511,0.508703905
19901025,0.72,-0.29,-0.52,0.07,0.33,0.03,0.717420375,-0.290421315,-0.521356705,0.069975511,0.329456695
19901026,-1.53,0.73,-0.04,-0.06,0.12,0.03,-1.541825273,0.727348397,-0.040008002,-0.060018007,0.119928058
19901029,-0.27,-0.15,0.05,0.03,0.13,0.03,-0.270365157,-0.150112613,0.049987504,0.029995501,0.129915573
19901030,-0.56,0.03,-0.18,0.19,0.07,0.03,-0.561573879,0.029995501,-0.180162195,0.189819728,0.069975511
19901031,-0.43,0.22,0.14,0.09,0.29,0.03,-0.430927159,0.219758354,0.139902091,0.089959524,0.289580311
19901101,-1.28,0.84,0.41,0.01,-0.23,0.03,-1.288262583,0.836491633,0.40916179,0.0099995,-0.230264906
19901102,0.93,-0.8,-0.23,0.18,0.28,0.03,0.925702126,-0.80321717,-0.230264906,0.179838194,0.27960873
19901105,1.43,-0.41,-0.46,0.04,-0.25,0.03,1.41987194,-0.410842804,-0.461061256,0.039992002,-0.250313022
19901106,-0.79,0.57,0.22,-0.37,-0.23,0.03,-0.793137033,0.568381647,0.219758354,-0.370686193,-0.230264906
19901107,-1.51,0.96,0.43,-0.01,0.08,0.03,-1.521516581,0.95542128,0.429078142,-0.0100005,0.079968017
19901108,-1.36,0.42,0.43,0.02,-0.25,0.03,-1.369332713,0.419120462,0.429078142,0.019998,-0.250313022
19901109,0.31,-0.54,0.18,0,-0.24,0.03,0.309520491,-0.54146327,0.179838194,0,-0.240288462
19901112,1.06,-0.46,-0.18,0.09,-0.39,0.03,1.054421388,-0.461061256,-0.180162195,0.089959524,-0.390762483
19901113,1.1,-0.63,-0.14,-0.18,-0.09,0.03,1.093994004,-0.631992874,-0.140098092,-0.180162195,-0.090040524
19901114,0.08,0.29,-0.32,0.23,-0.18,0.03,0.079968017,0.289580311,-0.320513095,0.229735905,-0.180162195
19901115,-0.76,0.38,0.42,-0.07,-0.27,0.03,-0.762902716,0.379279824,0.419120462,-0.070024511,-0.270365157
19901116,-0.41,0.52,0.4,-0.07,0.01,0.03,-0.410842804,0.518652669,0.399202127,-0.070024511,0.0099995
19901119,1.01,-0.8,-0.28,0.33,-0.14,0.03,1.004933585,-0.80321717,-0.280392733,0.329456695,-0.140098092
19901120,-0.77,0.47,0.19,0.11,-0.05,0.03,-0.772979806,0.468898949,0.189819728,0.109939544,-0.050012504
19901121,-0.35,0.04,0.11,0.04,-0.18,0.03,-0.350613933,0.039992002,0.109939544,0.039992002,-0.180162195
19901122,0.94,-0.85,-0.24,0.27,0.1,0.03,0.935609492,-0.853633102,-0.240288462,0.269636155,0.099950033
19901123,-0.04,-0.08,0.07,0.02,0.05,0.03,-0.040008002,-0.080032017,0.069975511,0.019998,0.049987504
