This file was created by CMPT_ME_BEME_OP_INV_RETS_DAILY using the 201904 CRSP database.,,,,,,,,,,,
The 1-month TBill return is from Ibbotson and Associates, Inc.,,,,,,,,,,
,Mkt-RF_simple,SMB_simple,HML_simple,RMW_simple,CMA_simple,RF,Mkt-RF_log,SMB_log,HML_log,RMW_log,CMA_log
19720411,0.36,0.29,0.09,-0.21,-0.07,0.014,0.359353551,0.289580311,0.089959524,-0.210220809,-0.070024511
19720412,0.35,0.19,-0.1,0.02,-0.17,0.014,0.349388925,0.189819728,-0.100050033,0.019998,-0.170144664
19720413,-0.27,-0.09,-0.14,0.25,0.08,0.014,-0.270365157,-0.090040524,-0.140098092,0.24968802,0.079968017
19720414,0.03,0.26,-0.15,-0.12,-0.35,0.014,0.029995501,0.259662585,-0.150112613,-0.120072058,-0.350613933
19720417,-0.26,-0.02,0.27,-0.27,-0.11,0.014,-0.260338587,-0.020002,0.269636155,-0.270365157,-0.110060544
19720418,0.17,-0.13,0.13,-0.11,0.18,0.014,0.169855664,-0.130084573,0.129915573,-0.110060544,0.179838194
19720419,-0.63,-0.37,0.5,-0.07,0.35,0.014,-0.631992874,-0.370686193,0.498754151,-0.070024511,0.349388925
19720420,-0.18,0.14,0.11,-0.25,0.12,0.014,-0.180162195,0.139902091,0.109939544,-0.250313022,0.119928058
19720421,-0.16,0.08,0.19,-0.18,0.11,0.014,-0.160128137,0.079968017,0.189819728,-0.180162195,0.109939544
19720424,-0.66,0.15,-0.19,0.08,-0.27,0.014,-0.662187631,0.149887612,-0.190180729,0.079968017,-0.270365157
19720425,-0.99,-0.28,-0.26,0.23,-0.13,0.014,-0.994933085,-0.280392733,-0.260338587,0.229735905,-0.130084573
19720426,-0.24,-0.12,0.03,-0.15,-0.03,0.014,-0.240288462,-0.120072058,0.029995501,-0.150112613,-0.030004501
19720427,0.1,-0.27,0.04,0.18,0.12,0.014,0.099950033,-0.270365157,0.039992002,0.179838194,0.119928058
19720428,0.51,-0.11,-0.15,0,-0.25,0.014,0.508703905,-0.110060544,-0.150112613,0,-0.250313022
19720501,-0.91,-0.17,0.17,0.02,0.1,0.014,-0.914165792,-0.170144664,0.169855664,0.019998,0.099950033
19720502,-0.59,-0.16,-0.02,0.26,-0.25,0.014,-0.591747376,-0.160128137,-0.020002,0.259662585,-0.250313022
19720503,-0.23,-0.7,0.15,0.1,0.17,0.014,-0.230264906,-0.702461494,0.149887612,0.099950033,0.169855664
19720504,0.23,-0.43,-0.24,0.05,0.05,0.014,0.229735905,-0.430927159,-0.240288462,0.049987504,0.049987504
19720505,0.36,-0.14,-0.31,0.14,-0.03,0.014,0.359353551,-0.140098092,-0.310481495,0.139902091,-0.030004501
19720508,-0.51,-0.39,0.08,-0.13,0.14,0.014,-0.511304939,-0.390762483,0.079968017,-0.130084573,0.139902091
19720509,-1.45,-0.69,-0.11,0.33,-0.05,0.014,-1.460615239,-0.692391507,-0.110060544,0.329456695,-0.050012504
19720510,0.7,0.19,-0.04,0.03,-0.39,0.014,0.697561374,0.189819728,-0.040008002,0.029995501,-0.390762483
19720511,0.41,0.25,0.01,-0.22,-0.29,0.014,0.40916179,0.24968802,0.0099995,-0.220242356,-0.290421315
19720512,0.69,0.25,0,-0.22,0.21,0.014,0.687630394,0.24968802,0,-0.220242356,0.209779808
19720515,0.5,0.28,-0.36,0.25,-0.16,0.014,0.498754151,0.27960873,-0.360649559,0.24968802,-0.160128137
19720516,-0.23,-0.01,0.09,0.06,-0.1,0.014,-0.230264906,-0.0100005,0.089959524,0.059982007,-0.100050033
19720517,0.2,-0.14,-0.18,0.17,-0.04,0.014,0.199800266,-0.140098092,-0.180162195,0.169855664,-0.040008002
19720518,0.91,-0.14,-0.58,0.41,-0.35,0.014,0.905884449,-0.140098092,-0.581688532,0.40916179,-0.350613933
19720519,0.92,-0.29,-0.24,0.27,-0.1,0.014,0.915793778,-0.290421315,-0.240288462,0.269636155,-0.100050033
19720522,0.55,-0.33,-0.42,0.47,-0.32,0.014,0.548493023,-0.330545701,-0.420884477,0.468898949,-0.320513095
19720523,0.03,-0.14,-0.49,0.54,-0.69,0.014,0.029995501,-0.140098092,-0.491204436,0.538547228,-0.692391507
19720524,0.41,-0.12,-0.27,0.31,-0.11,0.014,0.40916179,-0.120072058,-0.270365157,0.309520491,-0.110060544
19720525,0.21,-0.08,-0.31,-0.02,-0.01,0.014,0.209779808,-0.080032017,-0.310481495,-0.020002,-0.0100005
19720526,0.16,0.2,-0.08,-0.36,0.08,0.014,0.159872136,0.199800266,-0.080032017,-0.360649559,0.079968017
19720530,-0.34,-0.19,0.33,-0.21,0.38,0.014,-0.340579313,-0.190180729,0.329456695,-0.210220809,0.379279824
19720531,-0.73,-0.19,0.11,0.04,-0.09,0.014,-0.732677539,-0.190180729,0.109939544,0.039992002,-0.090040524
19720601,0.22,0.08,-0.08,-0.02,-0.16,0.013,0.219758354,0.079968017,-0.080032017,-0.020002,-0.160128137
19720602,0.11,0.23,-0.3,0.17,0.08,0.013,0.109939544,0.229735905,-0.300450902,0.169855664,0.079968017
19720605,-0.8,0.01,-0.05,0.27,-0.07,0.013,-0.80321717,0.0099995,-0.050012504,0.269636155,-0.070024511
19720606,-0.56,0.08,-0.4,0.29,-0.11,0.013,-0.561573879,0.079968017,-0.40080214,0.289580311,-0.110060544
19720607,-0.51,-0.04,-0.11,-0.02,-0.08,0.013,-0.511304939,-0.040008002,-0.110060544,-0.020002,-0.080032017
19720608,-0.3,0,0.02,0.23,0.04,0.013,-0.300450902,0,0.019998,0.229735905,0.039992002
19720609,-0.46,-0.03,0.1,0.23,0.11,0.013,-0.461061256,-0.030004501,0.099950033,0.229735905,0.109939544
19720612,0.07,-0.14,-0.05,-0.17,0.19,0.013,0.069975511,-0.140098092,-0.050012504,-0.170144664,0.189819728
19720613,0.43,-0.26,-0.2,-0.24,0.01,0.013,0.429078142,-0.260338587,-0.200200267,-0.240288462,0.0099995
19720614,0.76,-0.02,-0.5,0.27,0.06,0.013,0.75712655,-0.020002,-0.501254182,0.269636155,0.059982007
19720615,-0.07,-0.18,-0.22,0.07,0.29,0.013,-0.070024511,-0.180162195,-0.220242356,0.069975511,0.289580311
19720616,-0.09,0.12,0.09,0.08,-0.17,0.013,-0.090040524,0.119928058,0.089959524,0.079968017,-0.170144664
19720619,-0.16,0.18,-0.05,-0.12,-0.03,0.013,-0.160128137,0.179838194,-0.050012504,-0.120072058,-0.030004501
19720620,0.36,-0.21,-0.09,0.15,0.13,0.013,0.359353551,-0.210220809,-0.090040524,0.149887612,0.129915573
19720621,0.15,-0.33,-0.33,0.05,-0.15,0.013,0.149887612,-0.330545701,-0.330545701,0.049987504,-0.150112613
19720622,-0.17,-0.13,0.01,0.13,-0.04,0.013,-0.170144664,-0.130084573,0.0099995,0.129915573,-0.040008002
19720623,-0.42,0.17,-0.08,0.14,-0.13,0.013,-0.420884477,0.169855664,-0.080032017,0.139902091,-0.130084573
19720626,-0.7,0.13,0.02,-0.06,-0.1,0.013,-0.702461494,0.129915573,0.019998,-0.060018007,-0.100050033
19720627,-0.12,-0.2,0.07,0.09,0.09,0.013,-0.120072058,-0.200200267,0.069975511,0.089959524,0.089959524
19720628,-0.36,0.07,-0.26,0.3,-0.12,0.013,-0.360649559,0.069975511,-0.260338587,0.299550898,-0.120072058
19720629,-0.2,-0.03,-0.24,0,-0.15,0.013,-0.200200267,-0.030004501,-0.240288462,0,-0.150112613
19720630,0.39,0.18,0.04,-0.08,-0.01,0.013,0.389241472,0.179838194,0.039992002,-0.080032017,-0.0100005
19720703,0.34,0.02,0.11,-0.21,-0.15,0.016,0.339423307,0.019998,0.109939544,-0.210220809,-0.150112613
19720705,0.55,-0.11,-0.14,0.27,-0.1,0.016,0.548493023,-0.110060544,-0.140098092,0.269636155,-0.100050033
19720706,0.76,-0.38,-0.35,0.17,-0.34,0.016,0.75712655,-0.380723834,-0.350613933,0.169855664,-0.340579313
19720707,-0.32,0.15,-0.23,0.1,-0.22,0.016,-0.320513095,0.149887612,-0.230264906,0.099950033,-0.220242356
19720710,-0.55,-0.09,0.19,-0.06,-0.17,0.016,-0.551518069,-0.090040524,0.189819728,-0.060018007,-0.170144664
19720711,-0.75,-0.04,0.21,-0.12,0.1,0.016,-0.752826642,-0.040008002,0.209779808,-0.120072058,0.099950033
19720712,-0.53,-0.31,0.46,0.17,-0.01,0.016,-0.531409482,-0.310481495,0.458945233,0.169855664,-0.0100005
19720713,-0.63,-0.17,0.32,-0.13,0.34,0.016,-0.631992874,-0.170144664,0.31948909,-0.130084573,0.339423307
19720714,0.47,-0.21,-0.09,-0.24,0.17,0.016,0.468898949,-0.210220809,-0.090040524,-0.240288462,0.169855664
19720717,-0.92,-0.03,0.69,0,0.28,0.016,-0.924258137,-0.030004501,0.687630394,0,0.27960873
19720718,-0.09,-0.53,0.3,0.08,-0.04,0.016,-0.090040524,-0.531409482,0.299550898,0.079968017,-0.040008002
19720719,0.23,-0.05,-0.05,0.04,0.16,0.016,0.229735905,-0.050012504,-0.050012504,0.039992002,0.159872136
19720720,-0.34,-0.09,0.28,0.16,-0.06,0.016,-0.340579313,-0.090040524,0.27960873,0.159872136,-0.060018007
19720721,0.72,-0.08,-0.16,0.03,0.12,0.016,0.717420375,-0.080032017,-0.160128137,0.029995501,0.119928058
19720724,1.08,0.06,-0.52,0.04,-0.28,0.016,1.074209653,0.059982007,-0.521356705,0.039992002,-0.280392733
19720725,-0.31,0.07,0,0.21,0.04,0.016,-0.310481495,0.069975511,0,0.209779808,0.039992002
19720726,-0.1,-0.13,-0.19,0.1,-0.28,0.016,-0.100050033,-0.130084573,-0.190180729,0.099950033,-0.280392733
19720727,-0.34,-0.36,0.16,0.28,0.02,0.016,-0.340579313,-0.360649559,0.159872136,0.27960873,0.019998
19720728,0.03,-0.25,-0.04,0.08,-0.08,0.016,0.029995501,-0.250313022,-0.040008002,0.079968017,-0.080032017
19720731,-0.07,-0.33,-0.11,0.05,-0.05,0.016,-0.070024511,-0.330545701,-0.110060544,0.049987504,-0.050012504
19720801,0.93,-0.47,-0.54,0.32,-0.14,0.012,0.925702126,-0.471107973,-0.54146327,0.31948909,-0.140098092
19720802,0.83,-0.39,-0.32,0.11,0.15,0.012,0.826574442,-0.390762483,-0.320513095,0.109939544,0.149887612
19720803,0.74,-0.46,-0.23,0.54,-0.14,0.012,0.737275433,-0.461061256,-0.230264906,0.538547228,-0.140098092
19720804,0.34,-0.12,-0.26,0.09,-0.08,0.012,0.339423307,-0.120072058,-0.260338587,0.089959524,-0.080032017
19720807,0.11,-0.21,-0.03,-0.02,-0.01,0.012,0.109939544,-0.210220809,-0.030004501,-0.020002,-0.0100005
19720808,0.07,-0.28,-0.13,0.02,-0.09,0.012,0.069975511,-0.280392733,-0.130084573,0.019998,-0.090040524
19720809,0.12,0.02,-0.05,0.01,0.11,0.012,0.119928058,0.019998,-0.050012504,0.0099995,0.109939544
19720810,0.22,-0.02,0.03,-0.12,0.2,0.012,0.219758354,-0.020002,0.029995501,-0.120072058,0.199800266
19720811,0.82,-0.16,0.06,-0.47,0.2,0.012,0.816656267,-0.160128137,0.059982007,-0.471107973,0.199800266
19720814,0.43,-0.21,0.45,-0.24,0.29,0.012,0.429078142,-0.210220809,0.448990527,-0.240288462,0.289580311
19720815,-0.43,0.07,0.67,-0.45,0.15,0.012,-0.430927159,0.069975511,0.667765475,-0.451015548,0.149887612
19720816,-0.28,0,0.7,-0.26,0.07,0.012,-0.280392733,0,0.697561374,-0.260338587,0.069975511
19720817,-0.22,0.14,0.7,-0.14,0.08,0.012,-0.220242356,0.139902091,0.697561374,-0.140098092,0.079968017
19720818,0.41,-0.07,0.26,-0.24,0.17,0.012,0.40916179,-0.070024511,0.259662585,-0.240288462,0.169855664
19720821,-0.08,-0.13,0.81,-0.2,0.26,0.012,-0.080032017,-0.130084573,0.806737108,-0.200200267,0.259662585
19720822,0.5,-0.53,1.03,-0.51,0.51,0.012,0.498754151,-0.531409482,1.024731645,-0.511304939,0.508703905
19720823,-0.15,0.07,0.41,-0.26,0.1,0.012,-0.150112613,0.069975511,0.40916179,-0.260338587,0.099950033
19720824,-1.07,0.17,0.46,-0.06,0.39,0.012,-1.075765665,0.169855664,0.458945233,-0.060018007,0.389241472
19720825,-0.27,-0.01,0.17,0.03,0.1,0.012,-0.270365157,-0.0100005,0.169855664,0.029995501,0.099950033
19720828,-0.47,-0.04,0.23,0.07,0.03,0.012,-0.471107973,-0.040008002,0.229735905,0.069975511,0.029995501
19720829,0.13,-0.36,0.09,-0.23,0.21,0.012,0.129915573,-0.360649559,0.089959524,-0.230264906,0.209779808
19720830,0.13,-0.24,0.14,0.03,0.19,0.012,0.129915573,-0.240288462,0.139902091,0.029995501,0.189819728
19720831,0.44,-0.2,-0.02,-0.05,0.13,0.012,0.43903483,-0.200200267,-0.020002,-0.050012504,0.129915573
19720901,0.4,0.11,-0.15,0.19,-0.12,0.017,0.399202127,0.109939544,-0.150112613,0.189819728,-0.120072058
19720905,-0.29,0.09,0.06,0.09,-0.05,0.017,-0.290421315,0.089959524,0.059982007,0.089959524,-0.050012504
19720906,-0.6,-0.06,0.25,-0.04,0.12,0.017,-0.601807233,-0.060018007,0.24968802,-0.040008002,0.119928058
19720907,-0.34,-0.15,0.35,0.07,0.12,0.017,-0.340579313,-0.150112613,0.349388925,0.069975511,0.119928058
19720908,-0.14,-0.15,0.35,-0.2,0.28,0.017,-0.140098092,-0.150112613,0.349388925,-0.200200267,0.27960873
19720911,-0.69,-0.3,0.3,0.27,-0.16,0.017,-0.692391507,-0.300450902,0.299550898,0.269636155,-0.160128137
19720912,-0.95,-0.1,0.33,-0.06,0.03,0.017,-0.954541284,-0.100050033,0.329456695,-0.060018007,0.029995501
19720913,0.33,-0.16,-0.15,0.31,-0.17,0.017,0.329456695,-0.160128137,-0.150112613,0.309520491,-0.170144664
19720914,0.02,-0.05,-0.13,0.29,-0.05,0.017,0.019998,-0.050012504,-0.130084573,0.289580311,-0.050012504
19720915,-0.1,-0.04,0.05,-0.11,-0.03,0.017,-0.100050033,-0.040008002,0.049987504,-0.110060544,-0.030004501
19720918,-0.2,-0.04,0.28,-0.06,-0.04,0.017,-0.200200267,-0.040008002,0.27960873,-0.060018007,-0.040008002
19720919,-0.06,-0.11,0.2,0.03,-0.07,0.017,-0.060018007,-0.110060544,0.199800266,0.029995501,-0.070024511
19720920,-0.06,-0.24,-0.19,0.18,-0.09,0.017,-0.060018007,-0.240288462,-0.190180729,0.179838194,-0.090040524
19720921,-0.19,-0.13,-0.1,0.11,0.03,0.017,-0.190180729,-0.130084573,-0.100050033,0.109939544,0.029995501
19720922,0.06,-0.09,0.25,-0.13,-0.03,0.017,0.059982007,-0.090040524,0.24968802,-0.130084573,-0.030004501
19720925,-0.46,-0.08,-0.02,0.29,-0.28,0.017,-0.461061256,-0.080032017,-0.020002,0.289580311,-0.280392733
19720926,0.09,-0.19,-0.12,-0.04,-0.25,0.017,0.089959524,-0.190180729,-0.120072058,-0.040008002,-0.250313022
19720927,1.38,-0.43,-0.65,0.31,-0.07,0.017,1.370564706,-0.430927159,-0.652121699,0.309520491,-0.070024511
19720928,0.6,-0.25,-0.43,0.25,-0.78,0.017,0.598207168,-0.250313022,-0.430927159,0.24968802,-0.783057912
19720929,0.11,0.08,-0.03,-0.02,-0.43,0.017,0.109939544,0.079968017,-0.030004501,-0.020002,-0.430927159
19721002,-0.32,0.05,0.23,-0.11,0.01,0.018,-0.320513095,0.049987504,0.229735905,-0.110060544,0.0099995
19721003,0.07,-0.35,0.1,0.11,-0.11,0.018,0.069975511,-0.350613933,0.099950033,0.109939544,-0.110060544
19721004,-0.26,-0.47,0.74,-0.01,0.05,0.018,-0.260338587,-0.471107973,0.737275433,-0.0100005,0.049987504
19721005,-1.11,-0.02,0.64,-0.23,0.13,0.018,-1.116206471,-0.020002,0.637960696,-0.230264906,0.129915573
19721006,0.63,-0.25,-0.23,0.08,0.03,0.018,0.628023796,-0.250313022,-0.230264906,0.079968017,0.029995501
19721009,0.22,0.12,-0.08,-0.15,0.12,0.018,0.219758354,0.119928058,-0.080032017,-0.150112613,0.119928058
19721010,0.1,0.07,-0.05,0.12,0.22,0.018,0.099950033,0.069975511,-0.050012504,0.119928058,0.219758354
19721011,-0.46,-0.11,0.13,0.28,-0.3,0.018,-0.461061256,-0.110060544,0.129915573,0.27960873,-0.300450902
19721012,-0.84,-0.11,0.41,-0.01,0.12,0.018,-0.843547882,-0.110060544,0.40916179,-0.0100005,0.119928058
19721013,-0.68,0.15,0.18,-0.43,0.27,0.018,-0.682322535,0.149887612,0.179838194,-0.430927159,0.269636155
19721016,-1.05,0.24,0.19,-0.13,-0.06,0.018,-1.055551394,0.23971246,0.189819728,-0.130084573,-0.060018007
19721017,0.6,-0.53,0.28,-0.04,-0.01,0.018,0.598207168,-0.531409482,0.27960873,-0.040008002,-0.0100005
19721018,0.57,-0.31,-0.17,0.04,0.04,0.018,0.568381647,-0.310481495,-0.170144664,0.039992002,0.039992002
19721019,-0.12,-0.15,-0.13,0.01,-0.11,0.018,-0.120072058,-0.150112613,-0.130084573,0.0099995,-0.110060544
19721020,1.02,-0.4,-0.26,0.17,-0.07,0.018,1.014833105,-0.40080214,-0.260338587,0.169855664,-0.070024511
19721023,0.95,-0.2,-0.19,0.04,-0.11,0.018,0.945515877,-0.200200267,-0.190180729,0.039992002,-0.110060544
19721024,0.31,-0.25,-0.1,-0.12,-0.26,0.018,0.309520491,-0.250313022,-0.100050033,-0.120072058,-0.260338587
19721025,-0.04,-0.04,0.12,0.1,0.01,0.018,-0.040008002,-0.040008002,0.119928058,0.099950033,0.0099995
19721026,0.34,0.09,-0.06,0.02,-0.01,0.018,0.339423307,0.089959524,-0.060018007,0.019998,-0.0100005
19721027,-0.29,0.31,-0.16,0.1,-0.11,0.018,-0.290421315,0.309520491,-0.160128137,0.099950033,-0.110060544
19721030,-0.04,-0.1,-0.04,-0.09,0.03,0.018,-0.040008002,-0.100050033,-0.040008002,-0.090040524,0.029995501
19721031,0.94,-0.32,-0.26,0.17,0.08,0.018,0.935609492,-0.320513095,-0.260338587,0.169855664,0.079968017
19721101,1.02,-0.33,-0.15,0.14,0.04,0.019,1.014833105,-0.330545701,-0.150112613,0.139902091,0.039992002
19721102,0.47,-0.29,0.11,0.1,0.19,0.019,0.468898949,-0.290421315,0.109939544,0.099950033,0.189819728
19721103,0.84,-0.12,0.16,0.15,-0.06,0.019,0.836491633,-0.120072058,0.159872136,0.149887612,-0.060018007
19721106,-0.17,0.2,0.54,-0.14,0.32,0.019,-0.170144664,0.199800266,0.538547228,-0.140098092,0.31948909
19721108,-0.49,0.03,0.41,-0.11,0.19,0.019,-0.491204436,0.029995501,0.40916179,-0.110060544,0.189819728
19721109,0.06,-0.24,0.63,-0.21,0.28,0.019,0.059982007,-0.240288462,0.628023796,-0.210220809,0.27960873
19721110,0.3,0.15,0.59,-0.26,0.29,0.019,0.299550898,0.149887612,0.588266316,-0.260338587,0.289580311
19721113,0.09,-0.25,0.43,-0.27,0.1,0.019,0.089959524,-0.250313022,0.429078142,-0.270365157,0.099950033
19721114,0.83,-0.6,0.06,0.41,-0.07,0.019,0.826574442,-0.601807233,0.059982007,0.40916179,-0.070024511
19721115,-0.34,0.21,0.01,0.14,0.12,0.019,-0.340579313,0.209779808,0.0099995,0.139902091,0.119928058
19721116,0.5,-0.26,0.02,0.11,-0.2,0.019,0.498754151,-0.260338587,0.019998,0.109939544,-0.200200267
19721117,0.31,0.07,0.31,-0.04,0.18,0.019,0.309520491,0.069975511,0.309520491,-0.040008002,0.179838194
19721120,0.01,0.1,0.34,-0.24,-0.07,0.019,0.0099995,0.099950033,0.339423307,-0.240288462,-0.070024511
19721121,0.46,-0.02,0.26,-0.11,0.43,0.019,0.458945233,-0.020002,0.259662585,-0.110060544,0.429078142
19721122,0.59,0.02,0.29,0.04,0.02,0.019,0.588266316,0.019998,0.289580311,0.039992002,0.019998
19721124,0.27,-0.28,0.83,-0.61,0.44,0.019,0.269636155,-0.280392733,0.826574442,-0.611868101,0.43903483
19721127,-0.38,0.01,0.25,-0.21,0.32,0.019,-0.380723834,0.0099995,0.24968802,-0.210220809,0.31948909
19721128,-0.19,0.43,0.25,-0.56,0.32,0.019,-0.190180729,0.429078142,0.24968802,-0.561573879,0.31948909
19721129,0.02,0.15,-0.2,-0.1,0.24,0.019,0.019998,0.149887612,-0.200200267,-0.100050033,0.23971246
19721130,0.26,0.49,-0.48,-0.03,0.18,0.019,0.259662585,0.488803407,-0.4811557,-0.030004501,0.179838194
19721201,0.65,0.31,-0.21,0.03,-0.14,0.02,0.64789661,0.309520491,-0.210220809,0.029995501,-0.140098092
19721204,0.31,0.29,-0.26,0.17,-0.26,0.02,0.309520491,0.289580311,-0.260338587,0.169855664,-0.260338587
19721205,-0.21,-0.04,-0.05,0.35,-0.06,0.02,-0.210220809,-0.040008002,-0.050012504,0.349388925,-0.060018007
19721206,0.32,0.12,-0.13,0,0.22,0.02,0.31948909,0.119928058,-0.130084573,0,0.219758354
19721207,0.41,-0.16,-0.32,0.33,-0.28,0.02,0.40916179,-0.160128137,-0.320513095,0.329456695,-0.280392733
19721208,0.19,-0.07,-0.7,0.23,-0.07,0.02,0.189819728,-0.070024511,-0.702461494,0.229735905,-0.070024511
19721211,0.19,-0.27,-0.22,0.01,-0.19,0.02,0.189819728,-0.270365157,-0.220242356,0.0099995,-0.190180729
19721212,-0.41,-0.28,0.19,-0.09,0.13,0.02,-0.410842804,-0.280392733,0.189819728,-0.090040524,0.129915573
19721213,-0.19,-0.46,0.08,0.13,0.01,0.02,-0.190180729,-0.461061256,0.079968017,0.129915573,0.0099995
19721214,-0.33,-0.18,0.1,0.3,-0.41,0.02,-0.330545701,-0.180162195,0.099950033,0.299550898,-0.410842804
19721215,0.05,-0.07,-0.26,0.12,-0.16,0.02,0.049987504,-0.070024511,-0.260338587,0.119928058,-0.160128137
19721218,-1.08,-0.03,-0.04,0.04,-0.05,0.02,-1.085874333,-0.030004501,-0.040008002,0.039992002,-0.050012504
19721219,-0.41,-0.06,-0.02,-0.02,-0.12,0.02,-0.410842804,-0.060018007,-0.020002,-0.020002,-0.120072058
19721220,-0.36,-0.13,0.04,0.21,-0.36,0.02,-0.360649559,-0.130084573,0.039992002,0.209779808,-0.360649559
19721221,-0.66,0.14,0.04,-0.07,0.28,0.02,-0.662187631,0.139902091,0.039992002,-0.070024511,0.27960873
19721222,0.54,-0.15,0.06,0.05,-0.09,0.02,0.538547228,-0.150112613,0.059982007,0.049987504,-0.090040524
19721226,0.21,-0.4,0.1,0.06,0.06,0.02,0.209779808,-0.40080214,0.099950033,0.059982007,0.059982007
19721227,0.4,-0.57,-0.19,0.66,-0.46,0.02,0.399202127,-0.5716307,-0.190180729,0.657831536,-0.461061256
19721229,1.09,0.21,-0.5,0.09,-0.27,0.02,1.084102318,0.209779808,-0.501254182,0.089959524,-0.270365157
19730102,0.87,0.83,-0.02,-0.3,0.38,0.021,0.866237308,0.826574442,-0.020002,-0.300450902,0.379279824
19730103,0.35,0.19,0.13,-0.39,0.22,0.021,0.349388925,0.189819728,0.129915573,-0.390762483,0.219758354
19730104,-0.23,0.15,0.15,0.16,0.02,0.021,-0.230264906,0.149887612,0.149887612,0.159872136,0.019998
19730105,0.3,0.01,-0.09,0.19,-0.22,0.021,0.299550898,0.0099995,-0.090040524,0.189819728,-0.220242356
19730108,-0.03,-0.13,0.31,-0.02,0.35,0.021,-0.030004501,-0.130084573,0.309520491,-0.020002,0.349388925
19730109,-0.09,-0.18,0.32,0.01,0.08,0.021,-0.090040524,-0.180162195,0.31948909,0.0099995,0.079968017
19730110,-0.26,-0.17,0.61,-0.19,0.21,0.021,-0.260338587,-0.170144664,0.608147032,-0.190180729,0.209779808
19730111,0.55,-0.47,0.04,0.07,0.06,0.021,0.548493023,-0.471107973,0.039992002,0.069975511,0.059982007
19730112,-0.85,-0.31,0.08,0.25,-0.11,0.021,-0.853633102,-0.310481495,0.079968017,0.24968802,-0.110060544
19730115,-0.84,-0.28,0.26,0.16,0.01,0.021,-0.843547882,-0.280392733,0.259662585,0.159872136,0.0099995
19730116,-0.36,-0.24,-0.02,-0.03,0.34,0.021,-0.360649559,-0.240288462,-0.020002,-0.030004501,0.339423307
19730117,0.37,-0.27,0.14,-0.22,0.22,0.021,0.369317184,-0.270365157,0.139902091,-0.220242356,0.219758354
19730118,0.13,-0.19,-0.08,0.02,-0.19,0.021,0.129915573,-0.190180729,-0.080032017,0.019998,-0.190180729
19730119,-0.19,-0.18,-0.46,0.34,-0.38,0.021,-0.190180729,-0.180162195,-0.461061256,0.339423307,-0.380723834
19730122,-0.53,-0.06,0.09,0.04,-0.11,0.021,-0.531409482,-0.060018007,0.089959524,0.039992002,-0.110060544
19730123,-0.16,-0.33,-0.04,0.43,-0.07,0.021,-0.160128137,-0.330545701,-0.040008002,0.429078142,-0.070024511
19730124,-1.39,-0.11,0.13,0.28,-0.34,0.021,-1.399750964,-0.110060544,0.129915573,0.27960873,-0.340579313
19730126,-0.37,-0.53,0.29,-0.39,-0.05,0.021,-0.370686193,-0.531409482,0.289580311,-0.390762483,-0.050012504
19730129,-0.51,-0.15,0.23,0.32,-0.08,0.021,-0.511304939,-0.150112613,0.229735905,0.31948909,-0.080032017
19730130,-0.17,-0.29,0.26,-0.04,0.09,0.021,-0.170144664,-0.290421315,0.259662585,-0.040008002,0.089959524
19730131,0.12,-0.22,0.45,-0.31,0.56,0.021,0.119928058,-0.220242356,0.448990527,-0.310481495,0.558437829
19730201,-1.16,-0.11,0.16,0.05,-0.2,0.022,-1.166780487,-0.110060544,0.159872136,0.049987504,-0.200200267
19730202,-0.41,-0.05,-0.08,0.3,-0.27,0.022,-0.410842804,-0.050012504,-0.080032017,0.299550898,-0.270365157
19730205,-0.19,-0.28,-0.12,-0.11,-0.23,0.022,-0.190180729,-0.280392733,-0.120072058,-0.110060544,-0.230264906
19730206,0.19,-0.42,-0.17,0.02,0.05,0.022,0.189819728,-0.420884477,-0.170144664,0.019998,0.049987504
19730207,-0.77,-0.02,-0.16,0,-0.06,0.022,-0.772979806,-0.020002,-0.160128137,0,-0.060018007
19730208,-0.44,-0.05,-0.44,0.15,-0.33,0.022,-0.440970849,-0.050012504,-0.440970849,0.149887612,-0.330545701
19730209,1.35,-0.24,-0.41,0.12,0.22,0.022,1.340968691,-0.240288462,-0.410842804,0.119928058,0.219758354
19730212,1.07,-0.23,-0.23,-0.02,0.2,0.022,1.06431601,-0.230264906,-0.230264906,-0.020002,0.199800266
19730213,0.51,-0.38,-0.01,0.59,0.7,0.022,0.508703905,-0.380723834,-0.0100005,0.588266316,0.697561374
19730214,-1.41,0.15,0.43,-0.27,-0.14,0.022,-1.42003494,0.149887612,0.429078142,-0.270365157,-0.140098092
19730215,-0.69,-0.12,0.16,-0.08,-0.17,0.022,-0.692391507,-0.120072058,0.159872136,-0.080032017,-0.170144664
19730216,0.36,-0.36,0.18,-0.2,-0.27,0.022,0.359353551,-0.360649559,0.179838194,-0.200200267,-0.270365157
19730220,0.25,-0.46,0.4,-0.34,0.28,0.022,0.24968802,-0.461061256,0.399202127,-0.340579313,0.27960873
19730221,-0.74,-0.36,0.55,-0.19,0.19,0.022,-0.742751583,-0.360649559,0.548493023,-0.190180729,0.189819728
19730222,-0.3,-0.34,0.23,-0.16,-0.06,0.022,-0.300450902,-0.340579313,0.229735905,-0.160128137,-0.060018007
19730223,-1.08,-0.1,0.54,-0.03,-0.07,0.022,-1.085874333,-0.100050033,0.538547228,-0.030004501,-0.070024511
19730226,-0.88,-0.44,0.59,-0.2,0.1,0.022,-0.883894867,-0.440970849,0.588266316,-0.200200267,0.099950033
