Date,SP500,US Large Cap,US Small Cap,US Mid Cap,TSX,Europe,EM,US Treasury,US Corp High Yield,US IG 5-10 yr,CGOV 10y,CGOV 5y,CGOV 2y,Gold,Crude Oil,US Real Estate,CAN Real Estate,Toronto Real Estate,VIX,GDP,US/CAD,RF
2002-07-29,0.04756556062090068,0.0535637543215282,0.05558502623732555,0.05212034746961732,0.027067995813282935,0.07204965238756746,0.0038240964384034758,0.04008319553265833,-0.001714303023804131,-0.00786244836562212,0.0237150146169473,0.04261909397271684,0.07046864107749577,0.05863507685047718,0.0003658670479973155,0.043280508358462456,0.013454251809670468,0.0007301935337216852,-0.1252382419908962,0.00010922867884904973,1.5718999999999999,0.006999999999999999
2002-07-30,0.012949104628267412,0.004510873120358902,0.0014860420949340527,0.007298975624756154,0.004326535790682594,-0.01996845737175724,0.016024141932152965,0.005270133235665137,-0.009332251876122799,0.00019731649629927325,0.00037792895385573857,0.0006837607104006278,0.004931119491680049,0.030052345066401837,0.03005162309220679,0.015230266981591564,0.0036108364207032037,0.010167117355444242,0.018656667617507804,0.00010921674924806179,1.5752000000000002,0.006999999999999999
2002-07-31,0.0024162559806190104,0.011837120367125163,-0.01657703325579569,-0.000356991458308286,0.014369824747854065,0.004112114873574182,-0.012010940613460827,-0.02791043417509682,-0.005809617154834654,0.0060975798681183165,-0.013504722598913383,-0.02002137986055878,-0.039845908547199556,0.007863736460214672,-0.012501799947338871,0.004704755647244322,0.006983965332246316,-0.01749315744751723,0.0034401910394587934,0.00010920572981494796,1.5842,0.006999999999999999
2002-08-01,-0.026454804971594293,-0.030454507770608718,-0.014337163146407332,-0.027763534469217952,-0.00831708342420901,-0.04686976310021721,-0.0039109709936810556,-0.015709910463242,0.0022799553885496033,0.009757126875283599,-0.016411218791806327,-0.035008305391617645,-0.060511710395324714,0.01168085961275559,-0.020553891884268368,-0.013937085558165073,-0.0014924633385709504,0.01459879942115285,0.14289268377314404,0.00010919289776219861,1.591,0.006
2002-08-02,-0.02266999174973573,-0.02152296541628067,-0.037109389251302784,-0.027541748289135082,-0.0021761763221332642,-0.008638380609570683,-0.0007499318595264072,-0.022789792383510914,0.0024541358499888147,0.0020369569097519954,-0.00272904652806564,-0.020183055933078852,-0.03251261663312069,0.013457428342328964,0.01387005001325845,-0.02221216691072644,0.004173296994973063,-0.007272759329079921,0.11105469250378806,0.00010918097597501251,1.5844,0.006
2002-08-05,-0.03541645949043535,-0.036106565092268984,-0.02926138961566185,-0.03126190263744871,0.0,-0.05731958718222667,-0.037099180030749454,-0.01934496586350365,-0.002034710456620702,-0.0024254195736639083,-0.004107585237445513,-0.009378153629610581,-0.013306916249165579,-0.07877044287087978,-0.009744822951245048,-0.0173698514370736,0.0,0.0,0.0878183492735767,0.00010916905679087308,1.5972,0.006
2002-08-06,0.03310938729399169,0.028401025873639876,0.0372899282454728,0.03345289688205147,-0.002651731114192832,0.04236818732926313,-0.005642815079329963,0.028878899524983143,0.0011973898335369635,-0.003405500737129422,0.005667952240207989,0.01964217335705594,0.03196844978701486,0.049052493656770634,0.02197255208577118,0.0025361413543011535,0.0010901343926823356,0.010889399799268317,-0.0700550401545502,0.00010915804737545878,1.5854,0.006
2002-08-07,0.017288197482423936,0.021489006598195023,0.006846651135232927,0.011488596944005388,-0.004986981623112082,0.032827201109948426,0.0231132657362577,-0.006415548969751347,-0.0008380223164926885,0.002822523651049874,0.009118309369518048,-0.01247722609009416,-0.02097749817931153,0.0013106161771203756,-0.02497324962039224,0.020557254387356515,-0.0029758974446891188,-0.007246408520767198,-0.08176915549036462,0.00010914522612893914,1.5774,0.006
2002-08-08,0.03183737202199755,0.03334523139048579,0.021139628448780246,0.02712730887810375,0.019151826433340107,0.019323199785011756,0.013506016945787205,0.020855405644256055,0.000299374309932724,-0.0029199942880974144,0.0034702174790071237,0.00931151055206902,0.016426124912897383,-0.006570325870100217,0.0063323721671187,0.0002481081764373538,0.008408814448125896,0.03220314049463474,-0.0639706472935502,0.00010913331474861175,1.58,0.006
2002-08-09,0.003731347612858184,0.0036169873243513456,0.0015320642086258803,0.003097132543857724,0.005092754451172139,0.014197027794216931,0.004621159403869791,-0.032258996997225356,-0.001677651681677742,0.003988526130014372,-0.009863729522340232,-0.0014644864711642234,0.016160661988067,0.053268928879340295,0.006557876591668091,-0.012607044588533014,0.001771654006706193,-0.010619568827460148,-0.02791138486205669,0.00010912140596777907,1.5726,0.006
2002-08-12,-0.007366313337997296,-0.005265407275350423,0.0019663541402470896,-0.000812916382127047,-0.011270145981570721,-0.013317520261709435,-0.0026673977924755077,-0.009445170571518646,0.0007792597427154625,0.0013583003931771792,-0.004870930234596455,-0.0022007589271316776,0.003520566926395582,-0.011313759900273404,0.03213604489739702,0.011614242322821277,0.002455435108849505,-0.007142887512380225,0.04753589037104203,0.00010910949978599716,1.5739999999999998,0.006
2002-08-13,-0.01837570498231616,-0.021566317873736685,-0.024973673583821146,-0.022779924229561162,-0.006482257619140913,-0.020875730337876097,0.0005477388791901612,-0.0312789047320118,-0.000239707557928454,0.008207452049328396,-0.015748356968139168,-0.0245335065213633,-0.031810536771936536,0.005044146886678003,0.001470399723445792,-0.011237476227312594,-0.001177856437705781,-0.003590668130728485,-0.03376195510953013,0.00010909850287322698,1.565,0.006
