date,rf_rate_cad
2004-08-11,6.66E-05
2004-08-12,6.59E-05
2004-08-13,6.59E-05
2004-08-16,6.53E-05
2004-08-17,6.52E-05
2004-08-18,6.48E-05
2004-08-19,6.49E-05
2004-08-20,6.49E-05
2004-08-23,6.53E-05
2004-08-24,6.52E-05
2004-08-25,6.54E-05
2004-08-26,6.57E-05
2004-08-27,6.57E-05
2004-08-30,6.56E-05
2004-08-31,6.53E-05
2004-09-01,6.50E-05
2004-09-02,6.50E-05
2004-09-03,6.50E-05
2004-09-07,6.45E-05
2004-09-08,6.44E-05
2004-09-09,6.45E-05
2004-09-10,6.45E-05
2004-09-13,6.47E-05
2004-09-14,6.48E-05
2004-09-15,6.45E-05
2004-09-16,6.48E-05
2004-09-17,6.48E-05
2004-09-20,6.44E-05
2004-09-21,6.42E-05
2004-09-22,6.40E-05
2004-09-23,6.37E-05
2004-09-24,6.37E-05
2004-09-27,6.36E-05
2004-09-28,6.35E-05
2004-09-29,6.31E-05
2004-09-30,6.30E-05
2004-10-01,6.30E-05
2004-10-04,6.31E-05
2004-10-05,6.30E-05
2004-10-06,6.30E-05
2004-10-07,6.25E-05
2004-10-08,6.25E-05
2004-10-11,6.28E-05
2004-10-12,6.29E-05
2004-10-13,6.28E-05
2004-10-14,6.26E-05
2004-10-15,6.26E-05
2004-10-18,6.28E-05
2004-10-19,6.22E-05
2004-10-20,6.22E-05
2004-10-21,6.17E-05
2004-10-22,6.17E-05
2004-10-25,6.12E-05
2004-10-26,6.13E-05
2004-10-27,6.13E-05
2004-10-28,6.09E-05
2004-10-29,6.09E-05
2004-11-01,8.58E-05
2004-11-02,8.45E-05
2004-11-03,8.45E-05
2004-11-04,8.38E-05
2004-11-05,8.38E-05
2004-11-08,8.40E-05
2004-11-09,8.37E-05
2004-11-10,8.37E-05
2004-11-11,8.35E-05
2004-11-12,8.35E-05
2004-11-15,8.36E-05
2004-11-16,8.35E-05
2004-11-17,8.45E-05
2004-11-18,8.33E-05
2004-11-19,8.33E-05
2004-11-22,8.30E-05
2004-11-23,8.26E-05
2004-11-24,8.24E-05
2004-11-26,8.23E-05
2004-11-29,8.31E-05
2004-11-30,8.28E-05
2004-12-01,8.36E-05
2004-12-02,8.33E-05
2004-12-03,8.33E-05
2004-12-06,8.46E-05
2004-12-07,8.51E-05
2004-12-08,8.56E-05
2004-12-09,8.57E-05
2004-12-10,8.57E-05
2004-12-13,8.66E-05
2004-12-14,8.58E-05
2004-12-15,8.64E-05
2004-12-16,8.60E-05
2004-12-17,8.60E-05
2004-12-20,8.60E-05
2004-12-21,8.68E-05
2004-12-22,8.63E-05
2004-12-23,8.59E-05
2004-12-27,8.52E-05
2004-12-28,8.46E-05
2004-12-29,8.43E-05
2004-12-30,8.41E-05
2004-12-31,8.41E-05
2005-01-03,9.77E-05
2005-01-04,9.80E-05
2005-01-05,9.88E-05
2005-01-06,9.85E-05
2005-01-07,9.85E-05
2005-01-10,9.75E-05
2005-01-11,9.61E-05
2005-01-12,9.62E-05
2005-01-13,9.71E-05
2005-01-14,9.71E-05
2005-01-18,9.83E-05
2005-01-19,9.87E-05
2005-01-20,9.73E-05
2005-01-21,9.73E-05
2005-01-24,9.88E-05
2005-01-25,9.86E-05
2005-01-26,9.90E-05
2005-01-27,9.90E-05
2005-01-28,9.90E-05
2005-01-31,9.85E-05
2005-02-01,0.000111384
2005-02-02,0.000111636
2005-02-03,0.000112428
2005-02-04,0.000112428
2005-02-07,0.000112383
2005-02-08,0.000112275
2005-02-09,0.00011178
2005-02-10,0.00011106
2005-02-11,0.00011106
2005-02-14,0.000110781
2005-02-15,0.000111294
2005-02-16,0.000110556
2005-02-17,0.000111132
2005-02-18,0.000111132
2005-02-22,0.000112347
2005-02-23,0.000111654
2005-02-24,0.0001116
2005-02-25,0.0001116
2005-02-28,0.000111672
2005-03-01,0.00012382
2005-03-02,0.00012435
2005-03-03,0.00012316
2005-03-04,0.00012316
2005-03-07,0.00012122
2005-03-08,0.00012063
2005-03-09,0.00012025
2005-03-10,0.00012056
2005-03-11,0.00012056
2005-03-14,0.00012073
2005-03-15,0.00012028
2005-03-16,0.0001201
2005-03-17,0.00012003
2005-03-18,0.00012003
2005-03-21,0.00012091
2005-03-22,0.00012154
2005-03-23,0.00012155
2005-03-24,0.00012148
2005-03-28,0.000121
2005-03-29,0.00012167
2005-03-30,0.00012096
2005-03-31,0.00012134
2005-04-01,0.00012134
2005-04-04,0.00012184
2005-04-05,0.00012225
2005-04-06,0.00012228
2005-04-07,0.000123
2005-04-08,0.000123
2005-04-11,0.00012377
2005-04-12,0.00012376
2005-04-13,0.00012424
2005-04-14,0.00012466
2005-04-15,0.00012466
2005-04-18,0.00012371
2005-04-19,0.00012397
2005-04-20,0.00012393
2005-04-21,0.00012367
2005-04-22,0.00012367
2005-04-25,0.00012445
2005-04-26,0.00012507
2005-04-27,0.00012519
2005-04-28,0.00012578
2005-04-29,0.00012578
2005-05-02,0.000137885
2005-05-03,0.000137071
2005-05-04,0.000136983
2005-05-05,0.000136554
2005-05-06,0.000136554
2005-05-09,0.000136356
2005-05-10,0.000137203
2005-05-11,0.000137687
2005-05-12,0.000138952
2005-05-13,0.000138952
2005-05-16,0.000139073
2005-05-17,0.0001386
2005-05-18,0.000138413
2005-05-19,0.000139095
2005-05-20,0.000139095
2005-05-23,0.000138699
2005-05-24,0.000138985
2005-05-25,0.000139271
2005-05-26,0.000138083
2005-05-27,0.000138083
2005-05-31,0.000137214
2005-06-01,0.00012473
2005-06-02,0.00012471
2005-06-03,0.00012471
2005-06-06,0.00012463
2005-06-07,0.00012513
2005-06-08,0.00012561
2005-06-09,0.00012518
2005-06-10,0.00012518
2005-06-13,0.00012522
2005-06-14,0.00012371
2005-06-15,0.00012356
2005-06-16,0.00012302
2005-06-17,0.00012302
2005-06-20,0.00012324
2005-06-21,0.00012345
2005-06-22,0.00012337
2005-06-23,0.00012307
2005-06-24,0.00012307
2005-06-27,0.00012313
2005-06-28,0.0001228
2005-06-29,0.00012247
2005-06-30,0.00012414
2005-07-01,0.000148968
2005-07-05,0.000148248
2005-07-06,0.000147336
2005-07-07,0.000146448
2005-07-08,0.000146448
2005-07-11,0.000144516
2005-07-12,0.000145056
2005-07-13,0.000145272
2005-07-14,0.000146436
2005-07-15,0.000146436
2005-07-18,0.00014634
2005-07-19,0.000146664
2005-07-20,0.000146004
2005-07-21,0.000145848
2005-07-22,0.000145848
2005-07-25,0.000147696
2005-07-26,0.000148248
2005-07-27,0.0001476
2005-07-28,0.000144924
2005-07-29,0.000144924
2005-08-01,0.000158314
2005-08-02,0.000158106
2005-08-03,0.00015756
2005-08-04,0.00015756
2005-08-05,0.00015756
2005-08-08,0.000157729
2005-08-09,0.00015743
2005-08-10,0.000156273
2005-08-11,0.000155701
2005-08-12,0.000155701
2005-08-15,0.000155844
2005-08-16,0.000157703
2005-08-17,0.000158366
2005-08-18,0.000157417
2005-08-19,0.000157417
2005-08-22,0.000155688
2005-08-23,0.000154713
2005-08-24,0.000154843
2005-08-25,0.000155805
2005-08-26,0.000155805
2005-08-29,0.000154843
2005-08-30,0.000154518
2005-08-31,0.000153777
2005-09-01,0.000166754
2005-09-02,0.000166754
2005-09-06,0.000166362
2005-09-07,0.00016527
2005-09-08,0.000164836
2005-09-09,0.000164836
2005-09-12,0.000165508
2005-09-13,0.000165284
2005-09-14,0.0001659
2005-09-15,0.000165172
2005-09-16,0.000165172
2005-09-19,0.000163646
2005-09-20,0.000163646
2005-09-21,0.000164038
2005-09-22,0.000163716
2005-09-23,0.000163716
2005-09-26,0.000164892
2005-09-27,0.000164276
2005-09-28,0.000164066
2005-09-29,0.000162792
2005-09-30,0.000162792
2005-10-03,0.000152399
2005-10-04,0.000153647
2005-10-05,0.000153452
2005-10-06,0.000152607
2005-10-07,0.000152607
2005-10-10,0.000152867
2005-10-11,0.000152243
2005-10-12,0.000153608
2005-10-13,0.000154011
2005-10-14,0.000154011
2005-10-17,0.000152906
2005-10-18,0.000152841
2005-10-19,0.000153023
2005-10-20,0.000154544
2005-10-21,0.000154544
2005-10-24,0.00015288
2005-10-25,0.000152126
2005-10-26,0.000152243
2005-10-27,0.00015301
2005-10-28,0.00015301
2005-10-31,0.000152919
2005-11-01,0.000176985
2005-11-02,0.00017718
2005-11-03,0.000177705
2005-11-04,0.000177705
2005-11-07,0.000177975
2005-11-08,0.00017796
2005-11-09,0.000178575
2005-11-10,0.000178425
2005-11-11,0.000178425
2005-11-14,0.00017889
2005-11-15,0.000178935
2005-11-16,0.0001782
2005-11-17,0.00017823
2005-11-18,0.00017823
2005-11-21,0.00017607
2005-11-22,0.000175755
2005-11-23,0.000175725
